Building,type,Area,Roof,WWR,useful_area,SurfaceIndex
B3134,east,0.0,0,0,0,366
B3134,south,292.51,0,0.21,231.08,367
B3134,west,222.78,0,0.21,176.0,368
B3134,roofs,286.48,1,0.8,229.18400000000003,369
B1220,north,799.72,0,0.21,631.78,370
B1220,east,303.19,0,0.21,239.52,371
B1220,south,800.05,0,0.21,632.04,372
B1220,west,583.66,0,0.21,461.09,373
B1220,roofs,974.7,1,0.8,779.7600000000001,374
B3064,north,142.48000000000002,0,0.21,112.56,375
B3064,east,226.7,0,0.21,179.09,376
B3064,south,163.87,0,0.21,129.46,377
B3064,west,255.52,0,0.21,201.86,378
B3064,roofs,163.04,1,0.8,130.432,379
B1605,north,97.17999999999999,0,0.16,81.63,380
B1605,east,97.43,0,0.16,81.84,381
B1605,south,97.17999999999999,0,0.16,81.63,382
B1605,west,96.82,0,0.16,81.33,383
B1605,roofs,65.54,1,0.8,52.43200000000001,384
B1755,north,152.48,0,0.21,120.46,385
B1755,east,162.8,0,0.21,128.61,386
B1755,south,152.25,0,0.21,120.28,387
B1755,west,162.82,0,0.21,128.63,388
B1755,roofs,113.22,1,0.8,90.57600000000001,389
B3893,north,0.0,0,0,0,390
B3893,east,439.73,0,0.25,329.8,391
B3893,south,319.72,0,0.25,239.79,392
B3893,west,440.6,0,0.25,330.45,393
B3893,roofs,318.95,1,0.8,255.16,394
B1509,north,146.75,0,0.25,110.06,395
B1509,east,318.87,0,0.25,239.15,396
B1509,south,146.75,0,0.25,110.06,397
B1509,west,318.87,0,0.25,239.15,398
B1509,roofs,207.96,1,0.8,166.36800000000002,399
B1459,north,255.76000000000002,0,0.21,202.05,400
B1459,east,0.0,0,0,0,401
B1459,south,247.49,0,0.21,195.52,402
B1459,west,158.3,0,0.21,125.06,403
B1459,roofs,226.58,1,0.8,181.264,404
B3189,north,103.53,0,0.21,81.79,405
B3189,east,0.0,0,0,0,406
B3189,south,103.53,0,0.21,81.79,407
B3189,west,107.67999999999999,0,0.21,85.07,408
B3189,roofs,77.42,1,0.8,61.93600000000001,409
B1836,north,130.19,0,0.21,102.85,410
B1836,east,162.03,0,0.21,128.0,411
B1836,south,258.3,0,0.21,204.06,412
B1836,west,0.0,0,0,0,413
B1836,roofs,126.33,1,0.8,101.06400000000001,414
B1966,north,115.98,0,0.16,97.42,415
B1966,east,120.64,0,0.16,101.34,416
B1966,south,115.9,0,0.16,97.36,417
B1966,west,120.7,0,0.16,101.39,418
B1966,roofs,97.16,1,0.8,77.72800000000001,419
B3884,north,613.13,0,0.15,521.16,420
B3884,east,101.15,0,0.15,85.98,421
B3884,south,184.29000000000002,0,0.15,156.65,422
B3884,west,536.33,0,0.15,455.88,423
B3884,roofs,411.1,1,0.8,328.88000000000005,424
B1821,north,136.51,0,0.21,107.84,425
B1821,east,93.86000000000001,0,0.21,74.15,426
B1821,south,136.51,0,0.21,107.84,427
B1821,west,93.86000000000001,0,0.21,74.15,428
B1821,roofs,158.17,1,0.8,126.536,429
B1971,north,401.31,0,0.15,341.11,430
B1971,east,206.75,0,0.15,175.74,431
B1971,south,401.43,0,0.15,341.22,432
B1971,west,206.81,0,0.15,175.79,433
B1971,roofs,256.16,1,0.8,204.92800000000003,434
